Zip Range Start,Zip Range End,Svc Terminal,Direct/Indirect
21040,21040,155,D
21042,21046,156,D
21047,21047,155,D
21048,21048,153,D
21050,21053,155,D
21054,21054,156,D
21055,21055,155,D
21056,21056,156,D
21057,21057,155,D
21060,21061,156,D
21071,21071,155,D
21074,21074,153,D
21075,21077,156,D
21078,21078,155,D
21082,21082,155,D
21083,21083,156,D
21084,21085,155,D
21087,21088,155,D
21090,21090,155,D
21092,21094,155,D
21101,21101,155,D
21102,21102,153,D
21104,21105,155,D
21106,21106,156,D
21108,21108,156,D
21111,21111,155,D
21113,21114,156,D
21117,21117,155,D
21120,21120,155,D
21122,21123,156,D
21127,21127,155,I
21128,21128,155,D
21130,21133,155,D
21136,21136,155,D
21139,21139,155,D
21140,21140,156,D
21144,21144,156,D
21146,21146,156,D
21150,21150,156,D
21152,21154,155,D
21155,21155,153,D
21156,21156,155,D
21157,21158,153,D
21160,21163,155,D
21201,21299,155,D
21401,21499,156,D
21501,21502,153,D
21504,21504,153,D
21520,21525,153,D
21528,21532,153,D
21536,21536,153,D
21538,21543,153,D
21545,21546,153,D
21550,21550,153,D
21555,21557,153,D
21560,21560,153,D
21561,21561,153,I
21562,21562,153,D
21601,21601,169,D
21607,21607,167,D
21609,21609,169,D
21610,21610,167,D
21611,21613,169,D
21617,21617,167,D
21619,21620,167,D
21622,21622,169,D
21623,21623,167,D
21624,21624,169,D
21625,21625,167,D
21626,21627,169,D
21628,21629,167,D
21631,21632,169,D
21634,21634,169,D
21635,21636,167,D
21638,21641,167,D
21642,21643,169,D
21644,21645,167,D
21647,21648,169,D
21649,21651,167,D
21652,21655,169,D
21656,21658,167,D
21659,21659,169,D
21660,21661,167,D
21662,21665,169,D
21666,21668,167,D
21669,21669,169,D
21670,21670,167,D
21671,21673,169,D
21675,21677,169,D
21678,21679,167,D
21701,21705,153,D
21709,21723,153,D
21725,21725,153,D
21727,21727,153,D
21733,21736,153,D
21737,21737,156,D
21738,21738,153,D
21740,21742,153,D
21750,21750,153,D
21754,21760,153,D
21762,21762,153,D
21765,21771,153,D
21773,21784,153,D
21787,21788,153,D
21790,21795,153,D
21797,21798,153,D
21801,21804,169,D
21810,21811,169,D
21813,21814,169,D
21816,21817,169,D
21820,21822,169,D
21824,21824,169,D
21826,21826,169,D
21829,21830,169,D
21835,21838,169,D
21840,21843,169,D
21849,21853,169,D
21856,21858,169,D
21861,21872,169,D
21874,21875,169,D
21901,21904,155,D
21910,21911,155,D
21912,21913,167,D
21914,21914,155,D
21915,21915,167,D
21916,21918,155,D
21919,21919,167,D
21920,21922,155,D
21930,21930,167,D
22002,22002,164,I
22003,22003,164,D
22012,22012,153,D
22013,22019,164,D
22022,22022,164,D
22024,22024,164,D
22025,22025,153,D
22026,22027,164,D
22030,22044,164,D
22046,22046,164,D
22060,22060,164,D
22065,22067,164,D
22068,22068,153,D
22069,22069,164,I
22075,22075,153,D
22078,22078,153,D
22079,22079,164,D
22080,22080,153,D
22081,22081,164,D
22092,22092,153,D
22095,22095,153,D
22101,22106,164,D
22110,22111,164,D
22115,22115,153,D
22116,22116,164,D
22117,22117,153,D
22120,22125,164,D
22128,22132,153,D
22134,22135,164,D
22140,22140,164,I
22141,22141,153,D
22150,22161,164,D
22171,22171,153,D
22172,22172,164,D
22176,22176,153,D
22180,22186,164,D
22190,22190,153,D
22191,22199,164,D
22201,22299,164,D
22301,22399,164,D
22401,22408,164,D
22427,22427,164,I
22430,22430,164,I
22431,22432,162,I
22433,22433,164,I
22435,22439,162,I
22440,22440,164,I
22442,22443,162,I
22446,22446,162,I
22448,22448,164,I
22451,22451,164,I
22454,22454,162,I
22456,22456,162,I
22460,22461,162,I
22463,22463,164,D
22469,22469,162,I
22471,22471,164,I
22472,22473,162,I
22475,22475,162,I
22476,22476,164,I
22477,22477,162,I
22480,22480,162,I
22481,22481,164,I
22482,22482,162,I
22485,22485,164,I
22488,22488,162,I
22501,22501,164,I
22503,22505,162,I
22507,22507,162,I
22508,22508,164,I
22509,22509,162,I
22511,22511,162,I
22513,22513,162,I
22514,22514,164,I
22517,22517,162,I
22520,22520,162,I
22523,22524,162,I
22527,22530,162,I
22532,22532,164,I
22534,22535,162,I
22538,22540,162,I
22542,22542,162,I
22546,22546,153,I
22547,22547,164,I
22548,22548,162,I
22549,22549,164,I
22552,22552,162,I
22553,22554,164,D
22558,22560,162,I
22563,22563,162,I
22565,22565,164,D
22567,22567,645,I
22570,22570,162,I
22572,22572,162,I
22576,22579,162,I
22580,22580,164,I
22581,22581,162,I
22601,22604,153,D
22610,22611,153,D
22620,22620,153,D
22622,22626,153,D
22627,22627,164,I
22630,22630,153,D
22637,22638,153,D
22639,22640,164,I
22642,22642,153,D
22643,22643,164,I
22644,22644,647,D
22645,22646,153,D
22649,22649,153,D
22650,22650,162,I
22651,22652,153,D
22653,22653,647,I
22654,22657,153,D
22660,22660,647,D
22661,22661,647,I
22662,22664,153,D
22701,22701,645,D
22709,22709,162,I
22712,22712,164,I
22713,22715,645,D
22716,22716,162,I
22718,22718,645,D
22719,22719,645,I
22720,22720,164,I
22722,22722,645,D
22723,22723,162,I
22724,22724,645,I
22725,22725,645,D
22726,22726,164,I
22727,22727,645,D
22728,22728,164,D
22729,22729,164,I
22730,22730,645,D
22731,22731,164,I
22732,22733,645,D
22734,22734,164,D
22735,22735,645,D
22736,22736,164,I
22737,22737,645,I
22738,22738,645,D
22740,22740,645,D
22741,22741,162,I
22742,22742,164,I
22743,22743,645,I
22746,22746,164,I
22747,22747,153,D
22748,22748,164,I
22749,22749,645,I
22801,22803,647,D
22810,22811,647,I
22812,22812,647,D
22815,22815,647,D
22821,22821,647,D
22824,22824,647,D
22827,22827,647,D
22830,22830,647,I
22831,22835,647,D
22840,22844,647,D
22845,22845,647,I
22846,22849,647,D
22851,22851,647,D
22853,22853,647,D
22901,22908,645,D
22911,22911,645,D
22920,22920,647,I
22922,22922,649,D
22923,22924,645,D
22929,22929,645,D
22931,22932,645,D
22935,22935,162,I
22936,22938,645,D
22939,22939,647,D
22940,22940,647,I
22942,22943,645,D
22945,22948,645,D
22949,22949,649,D
22952,22952,647,D
22953,22953,645,D
22957,22957,645,D
22958,22958,162,I
22959,22960,645,D
22963,22963,645,D
22964,22964,162,I
22965,22965,645,D
22967,22967,649,D
22968,22969,645,D
22971,22971,162,I
22972,22974,645,D
22976,22976,671,I
22980,22980,647,D
22989,22989,645,D
23001,23004,162,I
23005,23005,162,D
23009,23009,162,I
23011,23011,162,I
23013,23018,162,I
23020,23025,162,I
23027,23028,162,I
23030,23032,162,I
23035,23035,162,I
23037,23039,162,I
23040,23040,162,D
23042,23043,162,I
23045,23045,162,I
23047,23047,162,D
23050,23050,162,I
23054,23054,162,I
23055,23055,645,D
23056,23056,162,I
23058,23060,162,D
23061,23072,162,I
23075,23075,162,D
23076,23076,162,I
23079,23081,162,I
23083,23083,671,I
23084,23084,645,D
23085,23085,162,I
23086,23086,162,D
23089,23089,162,I
23090,23090,162,D
23091,23092,162,I
23093,23093,645,D
23101,23101,649,I
23102,23104,162,I
23106,23107,162,I
23109,23110,162,I
23111,23113,162,D
23114,23115,162,I
23116,23116,162,D
23117,23117,162,I
23119,23119,162,I
23120,23120,162,D
23122,23122,162,I
23123,23123,647,I
23124,23131,162,I
23133,23133,162,I
23136,23142,162,I
23146,23149,162,I
23150,23150,162,D
23154,23158,162,I
23160,23161,162,I
23162,23162,162,D
23163,23163,162,I
23168,23168,162,D
23169,23170,162,I
23172,23172,162,I
23173,23173,162,D
23175,23175,162,I
23177,23177,162,D
23178,23179,162,I
23181,23181,162,I
23183,23184,162,I
23185,23188,162,D
23190,23190,162,I
23192,23192,162,I
23201,23299,162,D
23301,23301,169,D
23302,23302,162,I
23303,23303,169,D
23304,23304,162,I
23306,23308,162,I
23310,23310,162,I
23313,23316,162,I
23320,23325,657,D
23327,23327,657,D
23336,23337,169,D
23341,23341,162,I
23345,23345,162,I
23347,23347,162,I
23350,23350,162,I
23354,23354,162,I
23356,23359,162,I
23360,23360,657,D
23362,23362,162,I
23389,23389,162,I
23392,23392,162,I
23395,23399,162,I
23401,23401,162,I
23403,23405,162,I
23407,23407,169,D
23408,23409,162,I
23410,23410,169,D
23412,23413,162,I
23414,23418,169,D
23419,23420,162,I
23421,23421,169,D
23422,23424,162,I
23426,23427,162,I
23429,23429,162,I
23430,23430,657,D
23432,23438,657,D
23440,23440,162,I
23441,23442,169,D
23443,23443,162,I
23450,23464,657,D
23471,23471,657,D
23480,23480,162,I
23482,23482,162,I
23483,23483,169,D
23484,23484,162,I
23486,23486,162,I
23487,23487,657,D
23490,23490,162,I
23501,23599,657,D
23601,23609,657,D
23612,23612,657,D
23628,23628,657,D
23630,23630,657,D
23651,23670,657,D
23681,23681,657,D
23690,23693,657,D
23696,23696,162,I
23701,23799,657,D
23801,23801,162,D
23803,23806,162,D
23821,23821,162,I
23824,23824,162,D
23827,23827,690,D
23828,23829,690,I
23830,23830,162,I
23831,23832,162,D
23833,23833,162,I
23834,23834,162,D
23836,23836,162,D
23837,23837,657,D
23838,23838,162,D
23839,23839,162,I
23840,23840,162,D
23841,23843,162,I
23844,23844,671,I
23845,23846,162,I
23847,23847,690,D
23850,23850,162,I
23851,23851,657,D
23856,23856,162,I
23857,23857,671,I
23859,23859,162,I
23860,23860,162,D
23866,23866,162,I
23867,23867,690,D
23868,23868,680,D
23872,23874,162,I
23875,23875,162,D
23876,23876,162,I
23878,23878,690,I
23879,23879,162,I
23881,23884,162,I
23885,23885,162,D
23887,23890,162,I
23893,23893,671,I
23894,23894,162,I
23897,23899,162,I
23901,23901,649,D
23910,23910,671,I
23915,23915,162,I
23917,23917,680,D
23919,23919,680,D
23920,23920,162,I
23921,23921,649,D
23922,23922,162,D
23923,23923,671,I
23924,23924,667,D
23927,23927,667,D
23930,23930,162,D
23936,23936,649,D
23937,23937,649,I
23938,23938,162,I
23939,23939,649,D
23940,23940,162,I
23941,23942,671,I
23943,23943,649,D
23944,23944,162,D
23947,23947,162,D
23950,23950,680,D
23952,23952,671,I
23954,23954,162,I
23955,23955,162,D
23957,23957,162,I
23958,23958,649,D
23959,23959,649,I
23960,23960,649,D
23962,23964,671,I
23966,23966,162,I
23967,23967,671,I
23968,23968,162,I
23970,23970,680,D
23973,23973,162,I
23974,23974,162,D
23976,23976,671,I
24001,24042,648,D
24044,24049,648,D
24050,24050,667,D
24053,24054,671,I
24055,24055,671,D
24058,24059,648,I
24060,24066,648,D
24067,24067,648,I
24069,24069,671,D
24070,24070,648,I
24072,24072,671,I
24073,24073,648,D
24076,24076,671,I
24077,24077,648,D
24078,24078,671,D
24079,24079,646,I
24082,24082,671,D
24083,24083,648,D
24084,24084,646,D
24085,24085,648,D
24086,24086,671,I
24087,24087,648,D
24088,24088,648,I
24089,24089,671,D
24090,24090,648,D
24091,24091,646,I
24092,24092,671,I
24093,24093,646,D
24094,24094,671,I
24095,24095,648,I
24101,24101,671,I
24102,24102,671,D
24104,24105,671,I
24111,24111,646,I
24112,24115,671,D
24120,24121,671,I
24122,24122,648,D
24124,24124,646,D
24126,24126,646,D
24127,24127,671,I
24128,24131,648,I
24132,24132,646,I
24133,24133,671,D
24134,24134,646,D
24136,24136,648,I
24137,24139,671,I
24141,24141,646,D
24146,24146,671,I
24147,24147,646,D
24148,24148,671,D
24149,24149,671,I
24150,24150,648,I
24151,24151,648,D
24153,24153,648,D
24161,24161,671,D
24162,24162,648,D
24165,24165,671,D
24167,24167,648,I
24168,24168,671,D
24171,24171,671,D
24174,24175,648,D
24176,24176,162,D
24177,24177,671,I
24178,24179,648,D
24184,24184,648,I
24185,24185,671,D
24201,24203,644,D
24209,24212,644,D
24215,24216,644,I
24217,24217,646,I
24218,24218,162,D
24219,24219,644,I
24220,24220,162,D
24221,24221,644,I
24224,24225,644,I
24226,24226,646,I
24228,24228,644,I
24230,24230,644,I
24236,24236,644,D
24237,24237,646,I
24239,24239,162,D
24243,24243,644,I
24244,24244,241,I
24245,24246,646,I
24248,24248,644,I
24250,24250,644,I
24251,24251,241,I
24255,24255,644,I
24256,24256,646,I
24258,24259,644,D
24260,24260,644,I
24263,24263,644,I
24265,24265,644,I
24266,24266,644,D
24269,24269,646,I
24270,24270,644,D
24271,24271,644,I
24272,24272,646,I
24273,24273,644,I
24277,24277,644,I
24279,24279,644,I
24280,24280,646,I
24281,24281,644,I
24282,24282,646,I
24283,24283,644,I
24285,24285,646,I
24289,24289,646,I
24290,24290,644,D
24292,24292,162,I
24293,24293,644,I
24301,24301,646,D
24311,24311,646,D
24312,24312,646,I
24313,24313,671,I
24314,24315,646,D
24316,24316,671,I
24317,24317,671,D
24318,24318,671,I
24319,24319,646,D
24322,24322,671,I
24323,24324,646,D
24325,24325,671,I
24326,24326,646,I
24327,24327,644,D
24328,24328,671,I
24329,24329,646,D
24330,24330,671,I
24333,24333,646,D
24340,24340,646,D
24343,24343,646,D
24347,24347,671,I
24348,24348,660,D
24350,24352,671,I
24354,24354,646,D
24360,24360,646,D
24361,24361,644,D
24363,24363,671,I
24366,24366,646,D
24368,24368,646,D
24370,24370,646,D
24373,24374,646,D
24375,24375,646,I
24377,24381,671,I
24382,24382,646,D
24401,24402,647,D
24411,24411,647,I
24412,24413,648,I
24415,24415,162,I
24416,24416,648,D
24421,24421,647,I
24422,24422,648,I
24426,24426,648,I
24430,24430,647,I
24431,24431,647,D
24432,24433,648,I
24435,24435,647,I
24437,24437,647,D
24438,24438,648,I
24439,24439,647,I
24440,24441,647,D
24442,24442,648,I
24445,24445,648,I
24448,24449,648,I
24450,24450,648,D
24457,24458,648,I
24459,24460,647,I
24463,24463,647,D
24464,24464,649,D
24465,24465,648,I
24467,24467,647,D
24468,24468,648,I
24469,24469,647,D
24471,24471,647,D
24472,24473,647,I
24474,24474,162,I
24475,24476,647,I
24477,24477,647,D
24479,24479,647,I
24482,24482,647,D
24483,24483,647,I
24484,24484,648,I
24485,24486,647,D
24487,24487,648,I
24501,24515,649,D
24517,24517,649,D
24520,24520,667,D
24521,24522,649,D
24523,24523,648,D
24526,24526,649,D
24527,24527,667,D
24528,24528,649,D
24529,24529,667,D
24530,24530,671,I
24531,24531,667,D
24533,24533,649,D
24534,24534,667,D
24535,24535,162,I
24536,24536,649,D
24538,24538,649,D
24539,24541,667,D
24543,24543,667,D
24549,24549,667,D
24550,24552,649,D
24553,24553,671,I
24554,24554,649,D
24555,24555,648,D
24556,24556,649,D
24557,24558,667,D
24562,24562,645,D
24563,24563,649,D
24565,24566,667,D
24569,24569,649,D
24570,24570,671,I
24571,24572,649,D
24574,24574,649,D
24576,24577,671,I
24578,24579,648,D
24580,24580,162,I
24586,24586,667,D
24587,24588,649,D
24589,24589,162,I
24590,24590,645,D
24592,24592,667,D
24593,24593,649,D
24594,24594,667,D
24595,24595,649,D
24596,24596,667,D
24597,24598,671,I
24601,24602,644,I
24603,24604,646,I
24605,24605,646,D
24606,24609,646,I
24611,24614,646,I
24616,24616,644,I
24618,24620,644,I
24622,24622,646,I
24624,24625,646,I
24627,24627,648,I
24630,24631,646,I
24633,24635,646,I
24637,24641,646,I
24646,24646,646,I
24649,24649,646,I
24651,24651,646,I
24655,24658,646,I
24701,24701,646,D
24712,24712,646,I
24715,24716,242,I
24726,24727,646,I
24731,24733,242,I
24736,24737,646,I
24739,24739,646,I
24740,24740,646,D
24747,24747,242,I
24801,24801,646,I
24807,24807,242,I
24808,24808,646,I
24811,24811,646,I
24813,24813,646,I
24815,24816,646,I
24817,24818,242,I
24822,24822,646,I
24823,24824,242,I
24827,24828,242,I
24831,24832,242,I
24836,24836,646,I
24839,24839,242,I
24842,24845,242,I
24847,24847,242,I
24849,24852,242,I
24853,24853,646,I
24854,24854,242,I
24857,24857,646,I
24860,24862,646,I
24868,24869,242,I
24870,24870,646,I
24872,24873,242,I
24874,24874,646,I
24877,24879,242,I
24880,24880,646,I
24881,24882,242,I
24884,24884,646,I
24886,24886,242,I
24888,24888,242,I
24892,24892,242,I
24894,24895,242,I
24898,24899,242,I
24901,24902,648,I
24910,24910,646,I
24915,24915,242,I
24916,24916,646,I
24918,24918,646,I
24919,24920,242,I
24924,24924,242,I
24925,24925,648,I
24927,24928,242,I
24931,24931,646,I
24934,24936,242,I
24938,24938,242,I
24941,24941,646,I
24944,24946,242,I
24951,24951,646,I
24954,24954,242,I
24957,24957,646,I
24958,24958,242,I
24961,24961,242,I
24963,24963,646,I
24964,24964,242,I
24966,24966,648,I
24970,24970,648,I
24976,24977,242,I
24979,24979,242,I
24980,24980,648,I
24981,24981,242,I
24983,24983,646,I
24986,24986,648,I
24991,24991,242,I
24993,24993,242,I
25002,25002,242,I
25003,25003,292,D
25005,25005,242,I
25007,25007,242,I
25009,25009,242,I
25010,25010,646,I
25011,25011,242,I
25013,25013,646,I
25015,25015,292,D
25019,25019,242,I
25021,25021,242,I
25022,25022,646,I
25024,25024,242,I
25026,25026,242,I
25028,25028,242,I
25030,25031,242,I
25033,25033,292,D
25035,25035,292,D
25036,25036,646,I
25039,25040,242,I
25043,25045,242,I
25047,25049,242,I
25051,25053,242,I
25057,25057,242,I
25059,25063,242,I
25064,25064,292,D
25067,25067,242,I
25070,25071,292,D
25075,25075,242,I
25081,25083,242,I
25085,25086,242,I
25088,25088,242,I
25090,25090,242,I
25093,25093,242,I
25102,25102,648,I
25103,25103,242,I
25106,25108,242,I
25109,25109,292,D
25110,25111,242,I
25112,25112,292,D
25113,25114,242,I
25118,25123,242,I
25124,25124,292,D
25125,25126,242,I
25130,25130,242,I
25132,25136,242,I
25139,25140,242,I
25142,25142,242,I
25143,25143,292,D
25148,25150,242,I
25154,25154,242,I
25156,25156,242,I
25158,25158,242,I
25159,25159,292,D
25160,25161,242,I
25163,25163,646,I
25164,25165,242,I
25168,25169,242,I
25172,25172,242,I
25173,25173,292,D
25174,25174,242,I
25177,25177,292,D
25181,25181,242,I
25183,25183,646,I
25184,25187,242,I
25189,25189,646,I
25193,25193,242,I
25201,25202,292,D
25203,25205,242,I
25206,25206,646,I
25208,25208,242,I
25209,25209,646,I
25211,25211,242,I
25213,25213,292,D
25214,25214,242,I
25234,25235,242,I
25237,25237,242,I
25239,25239,290,I
25241,25241,242,I
25243,25253,242,I
25255,25255,242,I
25257,25261,242,I
25262,25262,290,D
25265,25265,242,I
25267,25268,242,I
25270,25270,242,I
25271,25271,290,D
25275,25276,242,I
25279,25280,242,I
25283,25283,242,I
25285,25287,242,I
25301,25399,292,D
25401,25402,153,D
25411,25411,153,D
25413,25414,153,D
25419,25421,153,D
25422,25422,242,I
25423,25425,153,D
25427,25428,153,D
25430,25432,153,D
25434,25434,153,D
25437,25437,153,I
25438,25438,153,D
25440,25444,153,D
25446,25446,153,D
25501,25503,242,I
25504,25504,292,D
25505,25506,242,I
25507,25507,292,D
25508,25508,242,I
25510,25510,292,D
25511,25515,242,I
25519,25521,242,I
25523,25524,242,I
25526,25526,292,D
25529,25529,242,I
25530,25530,292,D
25534,25534,242,I
25535,25535,292,D
25537,25537,292,D
25540,25541,292,D
25544,25545,292,D
25547,25547,242,I
25550,25550,242,I
25555,25555,242,I
25557,25557,242,I
25559,25559,242,I
25560,25560,292,D
25564,25564,242,I
25567,25567,242,I
25569,25569,292,D
25570,25573,242,I
25601,25601,242,I
25606,25606,646,I
25607,25608,242,I
25611,25611,242,I
25612,25612,646,I
25614,25614,242,I
25616,25616,646,I
25617,25617,242,I
25619,25619,242,I
25621,25621,646,I
25623,25623,646,I
25624,25624,242,I
25625,25625,646,I
25628,25628,242,I
25630,25632,242,I
25634,25639,242,I
25643,25643,242,I
25646,25647,242,I
25649,25649,646,I
25651,25652,242,I
25653,25653,646,I
25654,25654,242,I
25661,25661,242,I
25666,25667,242,I
25669,25672,242,I
25674,25674,242,I
25676,25678,646,I
25682,25682,646,I
25684,25685,242,I
25687,25687,242,I
25688,25688,646,I
25690,25690,646,I
25691,25694,242,I
25696,25696,242,I
25701,25799,292,D
25801,25802,242,I
25810,25810,242,I
25811,25811,646,I
25812,25814,242,I
25816,25818,242,I
25820,25820,646,I
25823,25823,242,I
25825,25828,242,I
25831,25831,242,I
25832,25832,646,I
25833,25833,242,I
25836,25837,242,I
25839,25841,242,I
25843,25849,242,I
25851,25851,242,I
25853,25856,242,I
25859,25860,242,I
25862,25862,242,I
25864,25866,242,I
25868,25868,242,I
25870,25871,242,I
25873,25873,242,I
25875,25876,242,I
25878,25880,242,I
25882,25882,646,I
25901,25902,242,I
25904,25904,242,I
25906,25906,242,I
25908,25911,242,I
25913,25917,242,I
25918,25918,646,I
25919,25921,242,I
25922,25922,646,I
25926,25927,242,I
25928,25928,646,I
25932,25933,646,I
25934,25934,242,I
25938,25939,242,I
25951,25951,646,I
25958,25958,646,I
25962,25962,648,I
25966,25966,646,I
25967,25967,242,I
25969,25969,242,I
25971,25971,242,I
25975,25976,646,I
25978,25978,646,I
25979,25979,242,I
25981,25981,242,I
25984,25984,646,I
25985,25985,242,I
25989,25989,242,I
26003,26003,207,D
26030,26031,207,D
26032,26033,242,I
26034,26034,212,D
26035,26036,242,I
26037,26038,207,D
26039,26040,242,I
26041,26041,207,D
26047,26047,242,I
26050,26050,212,D
26055,26056,242,I
26058,26058,242,I
26059,26059,207,D
26060,26060,242,I
26062,26062,207,D
26070,26070,207,D
26074,26074,242,I
26101,26102,290,D
26104,26105,290,D
26120,26120,290,D
26133,26133,290,I
26134,26134,290,D
26135,26135,290,I
26136,26137,242,I
26141,26141,242,I
26142,26142,290,D
26143,26143,242,I
26144,26144,290,I
26146,26146,290,I
26147,26149,242,I
26150,26150,290,D
26151,26151,242,I
26153,26153,242,I
26155,26155,242,I
26159,26159,290,I
26160,26161,242,I
26164,26164,290,D
26167,26167,242,I
26169,26169,290,I
26170,26170,290,D
26173,26173,242,I
26175,26175,290,I
26178,26178,242,I
26180,26180,242,I
26181,26181,290,D
26184,26184,290,D
26186,26186,242,I
26187,26187,290,D
26190,26190,290,D
26201,26202,242,I
26205,26205,242,I
26206,26206,646,I
26207,26210,242,I
26214,26215,242,I
26217,26218,242,I
26222,26222,242,I
26228,26230,242,I
26234,26234,242,I
26237,26238,242,I
26241,26241,242,I
26250,26250,242,I
26253,26254,242,I
26257,26257,242,I
26259,26261,242,I
26263,26265,242,I
26267,26271,242,I
26273,26273,242,I
26275,26276,242,I
26278,26278,242,I
26280,26280,242,I
26282,26283,242,I
26285,26285,242,I
26287,26288,242,I
26290,26294,242,I
26296,26296,242,I
26301,26302,242,I
26320,26321,242,I
26323,26323,242,I
26328,26328,242,I
26330,26330,242,I
26332,26332,242,I
26335,26335,242,I
26337,26338,242,I
26342,26343,242,I
26346,26351,242,I
26354,26354,242,I
26360,26362,242,I
26366,26366,242,I
26369,26369,242,I
26374,26378,242,I
26383,26386,242,I
26404,26405,242,I
26408,26408,242,I
26410,26412,242,I
26415,26416,242,I
26419,26419,242,I
26422,26426,242,I
26430,26431,242,I
26434,26440,242,I
26443,26444,242,I
26447,26448,242,I
26451,26452,242,I
26456,26456,242,I
26461,26462,242,I
26501,26502,207,D
26505,26505,207,D
26507,26508,207,D
26519,26521,242,I
26525,26525,242,I
26527,26527,242,I
26529,26529,242,I
26531,26531,242,I
26534,26535,242,I
26537,26537,242,I
26541,26544,242,I
26546,26547,242,I
26554,26555,242,I
26559,26559,242,I
26562,26563,242,I
26566,26566,242,I
26568,26568,242,I
26570,26572,242,I
26574,26576,242,I
26578,26578,242,I
26581,26582,242,I
26585,26591,242,I
26601,26601,242,I
26610,26611,242,I
26617,26617,242,I
26621,26621,242,I
26623,26624,242,I
26627,26627,242,I
26629,26629,242,I
26633,26633,242,I
26636,26636,242,I
26639,26639,242,I
26651,26651,242,I
26662,26662,242,I
26667,26667,242,I
26671,26671,242,I
26674,26674,242,I
26676,26676,242,I
26678,26681,242,I
26691,26691,242,I
26704,26704,153,D
26705,26705,242,I
26707,26707,242,I
26710,26711,153,D
26713,26713,242,I
26714,26714,153,D
26716,26717,242,I
26719,26719,153,D
26720,26720,242,I
26722,26722,153,I
26726,26726,153,D
26729,26729,153,D
26731,26731,242,I
26734,26734,242,I
26739,26739,242,I
26743,26743,153,D
26750,26750,153,D
26753,26753,153,D
26755,26755,242,I
26757,26757,153,D
26761,26762,153,D
26763,26763,153,I
26764,26764,242,I
26767,26767,153,D
26801,26802,242,I
26804,26804,242,I
26806,26807,242,I
26808,26808,153,D
26810,26816,242,I
26817,26817,153,D
26818,26818,242,I
26824,26824,153,D
26833,26833,242,I
26835,26836,242,I
26838,26838,242,I
26845,26845,242,I
26847,26847,242,I
26851,26851,153,I
26852,26852,153,D
26855,26855,242,I
26865,26865,153,I
26866,26866,242,I
26884,26884,242,I
26886,26886,242,I
27006,27010,671,D
27011,27011,660,D
27012,27014,671,D
27015,27015,660,D
27016,27017,671,I
27018,27019,671,D
27020,27020,660,D
27021,27021,671,D
27022,27022,671,I
27023,27023,671,D
27024,27024,671,I
27025,27025,671,D
27027,27028,671,D
27030,27031,671,D
27040,27043,671,D
27045,27045,671,D
27046,27046,671,I
27047,27052,671,D
27053,27053,671,I
27054,27054,671,D
27055,27055,660,D
27101,27117,671,D
27127,27127,671,D
27157,27157,671,D
27201,27204,671,D
27207,27207,652,D
27208,27209,671,D
27212,27212,667,D
27213,27213,652,D
27214,27217,671,D
27228,27228,652,D
27229,27230,671,D
27231,27231,672,D
27233,27235,671,D
27237,27237,652,D
27239,27239,671,D
27242,27242,671,D
27243,27243,672,D
27244,27244,671,D
27247,27249,671,D
27251,27252,652,D
27253,27253,671,D
27256,27256,652,D
27258,27258,671,D
27259,27259,652,D
27260,27265,671,D
27278,27278,672,D
27281,27281,652,D
27282,27285,671,D
27288,27289,671,D
27291,27291,667,D
27292,27293,671,D
27295,27295,671,D
27298,27299,671,D
27301,27302,671,D
27305,27305,667,D
27306,27306,655,D
27310,27310,671,D
27311,27311,667,D
27312,27312,652,D
27313,27313,671,D
27314,27314,672,D
27315,27315,667,D
27316,27317,671,D
27320,27320,671,D
27323,27323,671,D
27325,27325,652,D
27326,27326,667,D
27330,27332,652,D
27340,27342,671,D
27343,27343,667,D
27344,27344,671,D
27349,27351,671,D
27355,27361,671,D
27370,27371,671,D
27373,27375,671,D
27376,27376,652,D
27377,27377,671,D
27379,27379,667,D
27401,27499,671,D
27501,27501,652,D
27502,27502,680,D
27503,27503,672,D
27504,27506,652,D
27507,27507,671,D
27508,27508,690,I
27509,27510,672,D
27511,27513,680,D
27514,27514,672,D
27516,27516,672,D
27519,27520,680,D
27521,27521,652,D
27522,27522,672,D
27523,27523,680,D
27524,27524,686,D
27525,27525,680,D
27526,27526,652,D
27529,27529,680,D
27530,27534,686,D
27536,27536,680,D
27540,27540,652,D
27541,27541,671,D
27542,27542,686,D
27543,27543,652,D
27544,27545,680,D
27546,27546,652,D
27549,27549,680,D
27551,27551,680,D
27552,27552,652,D
27553,27553,680,D
27555,27555,686,D
27556,27557,680,D
27559,27559,652,D
27560,27560,672,D
27562,27562,652,D
27563,27563,680,D
27564,27564,672,I
27565,27565,672,D
27568,27569,686,D
27570,27571,680,D
27572,27572,672,I
27573,27573,672,D
27576,27577,686,D
27581,27581,672,D
27582,27582,671,D
27583,27583,672,D
27584,27584,671,D
27586,27586,671,D
27587,27589,680,D
27591,27591,680,D
27592,27592,652,D
27593,27593,671,I
27594,27594,671,D
27596,27597,680,D
27599,27599,672,D
27601,27699,680,D
27701,27799,672,D
27801,27805,690,D
27806,27806,650,D
27807,27807,680,D
27808,27808,650,D
27809,27809,690,D
27810,27812,650,D
27813,27813,690,D
27814,27814,650,D
27816,27816,690,I
27817,27817,650,D
27818,27820,690,D
27821,27821,650,D
27822,27823,690,D
27824,27826,650,D
27827,27827,671,D
