Ziprange Start,Ziprange End,Servicing Terminal ,Direct/Indirect
J4R,J4T,160,D
J4V,J5A,160,D
J5J,J5J,160,D
J5R,J5R,160,D
J5V,J5V,166,D
J5W,J5W,160,D
J5X,J5X,160,I
J5Y,J6A,160,D
J6E,J6E,160,D
J6J,J6K,160,D
J6N,J6N,160,D
J6R,J6T,160,D
J6V,J7C,160,D
J7E,J7E,160,D
J7G,J7H,160,D
J7J,J7N,160,D
J7P,J7P,160,D
J7R,J7R,160,D
J7T,J7T,160,D
J7V,J7V,160,D
J7X,J8A,160,D
J8B,J8C,160,I
J8G,J8H,160,D
J8L,J8L,214,D
J8N,J8N,214,D
J8P,J8P,214,D
J8R,J8R,214,D
J8T,J8T,214,D
J8V,J8V,214,D
J8X,J9A,214,D
J9E,J9E,214,D
J9H,J9H,214,D
J9J,J9J,214,D
J9L,J9L,160,I
J9P,J9P,160,I
J9T,J9T,160,I
J9X,J9X,160,I
J9Z,J9Z,160,I
K0A,K0C,214,D
K0E,K0E,214,D
K0G,K0H,214,D
K0J,K0J,214,D
K0K,K0M,222,D
K1A,K1C,214,D
K1E,K1E,214,D
K1G,K1H,214,D
K1J,K1L,214,D
K1N,K1N,214,D
K1P,K1P,214,D
K1R,K1T,214,D
K1V,K1W,214,D
K1Y,K2C,214,D
K2E,K2E,214,D
K2G,K2H,214,D
K2J,K2M,214,D
K2P,K2P,214,D
K2S,K2T,214,D
K2V,K2V,214,D
K4A,K4C,214,D
K4K,K4K,214,D
K4M,K4M,214,D
K4P,K4P,214,D
K4R,K4R,214,D
K6A,K6A,214,D
K6H,K6H,214,D
K6J,K6J,214,D
K6T,K6T,214,D
K6V,K6V,214,D
K7A,K7A,214,D
K7C,K7C,214,D
K7G,K7H,214,D
K7K,K7N,252,D
K7P,K7P,252,D
K7R,K7R,252,D
K7S,K7S,214,D
K7V,K7V,214,D
K8A,K8B,214,D
K8H,K8H,214,D
K8N,K8N,252,D
K8P,K8P,252,D
K8V,K8V,252,D
K9A,K9A,252,D
K9H,K9H,222,D
K9J,K9L,222,D
K9V,K9V,222,D
L0A,L0C,222,D
L0E,L0E,222,D
L0G,L0H,222,D
L0J,L0N,222,D
L0P,L0P,222,D
L0R,L0S,222,D
L1A,L1A,252,D
L1B,L1C,222,D
L1E,L1E,222,D
L1G,L1H,222,D
L1J,L1K,222,D
L1N,L1N,222,D
L1P,L1P,222,D
L1R,L1T,222,D
L1V,L2A,222,D
L2E,L2E,222,D
L2G,L2H,222,D
L2J,L2J,222,D
L2M,L2N,222,D
L2P,L2P,222,D
L2R,L2T,222,D
L2V,L2W,222,D
L3B,L3C,222,D
L3K,L3K,222,D
L3M,L3M,222,D
L3P,L3P,222,D
L3R,L3T,222,D
L3V,L3V,222,D
L3X,L4C,222,D
L4E,L4E,222,D
L4G,L4H,222,D
L4J,L4N,222,D
L4P,L4P,222,D
L4R,L4R,222,D
L4T,L4T,222,D
L4V,L5C,222,D
L5E,L5E,222,D
L5G,L5H,222,D
L5J,L5N,222,D
L5P,L5P,222,D
L5R,L5T,222,D
L5V,L5W,222,D
L6A,L6C,222,D
L6E,L6E,222,D
L6G,L6H,222,D
L6J,L6M,222,D
L6R,L6T,222,D
L6V,L7C,222,D
L7E,L7E,222,D
L7G,L7H,222,D
L7J,L7J,222,D
L7L,L7N,222,D
L7P,L7P,222,D
L7R,L7T,222,D
L7Y,L7Y,222,D
L8E,L8E,222,D
L8G,L8H,222,D
L8J,L8N,222,D
L8P,L8P,222,D
L8R,L8T,222,D
L8V,L8W,222,D
L9A,L9C,222,D
L9G,L9H,222,D
L9J,L9M,222,D
L9P,L9P,222,D
L9R,L9T,222,D
L9W,L9W,222,D
L9Y,L9Y,222,D
M1A,M1C,222,D
M1E,M1E,222,D
M1G,M1H,222,D
M1J,M1N,222,D
M1P,M1P,222,D
M1R,M1T,222,D
M1V,M1X,222,D
M2H,M2H,222,D
M2J,M2N,222,D
M2P,M2P,222,D
M2R,M2R,222,D
M3A,M3C,222,D
M3H,M3H,222,D
M3J,M3N,222,D
M3T,M3T,222,D
M4A,M4C,222,D
M4E,M4E,222,D
M4G,M4H,222,D
M4J,M4N,222,D
M4P,M4P,222,D
M4R,M4T,222,D
M4V,M4Y,222,D
M5A,M5C,222,D
M5E,M5E,222,D
M5G,M5H,222,D
M5J,M5N,222,D
M5P,M5P,222,D
M5R,M5T,222,D
M5V,M5X,222,D
M6A,M6C,222,D
M6E,M6E,222,D
M6G,M6H,222,D
M6J,M6N,222,D
M6P,M6P,222,D
M6R,M6S,222,D
M6W,M6W,222,D
M8V,M9C,222,D
M9L,M9N,222,D
M9P,M9P,222,D
M9R,M9R,222,D
M9V,M9W,222,D
N0A,N0A,222,D
N0B,N0B,289,D
N0C,N0C,222,D
N0E,N0E,289,D
N0G,N0H,222,D
N0J,N0K,289,D
N0L,N0L,285,D
N0M,N0M,289,D
N0N,N0N,283,D
N0P,N0P,283,D
N0R,N0R,285,D
N1A,N1A,222,D
N1C,N1C,222,D
N1E,N1E,222,D
N1G,N1H,222,D
N1K,N1L,222,D
N1M,N1M,289,D
N1R,N1T,289,D
N2A,N2C,289,D
N2E,N2E,289,D
N2G,N2H,289,D
N2J,N2N,289,D
N2P,N2P,289,D
N2R,N2T,289,D
N2V,N2V,289,D
N2Z,N2Z,289,D
N3B,N3C,289,D
N3G,N3H,289,D
N3L,N3L,289,D
